Modèle,RMSE,R2
Linéaire,49113.3303617676,0.6846197010666045
Forêt Aléatoire,301.18096415335737,0.9999881398322993
Boosting,67.38589264156454,0.9999994062908216
KNN,13.919410907075054,0.999999974667532
MLP,15910.263235890152,0.9669028558332535
Lasso,49034.3859049808,0.6856327668120565
SVM,73757.81567487693,0.2887015131899676
